city_code,city,week,new case,growth rate,Wuhan flow,Wuhan flow_lag,Hubei/non-Wuhan flow,Hubei/non Wuhan flow_lag,non-Hubei flow,non-Hubei flow_lag,City internal flow index,City internal flow index_lag,City internal flow,City internal flow_lag,Doctors,COVID-19 Hospitals,Hospitals,Beds,Outpatients,Population,Density,GDP,Income,Aging,Highest Temperature,Lowest Temperature,Average Temperature,Relative Humidity,Absolute Humidity,ILI
411200,Sanmenxia,1,1,5,2332.523171,2025.617383,311.8942011,907.0873154,7372.296,5671.018286,5.5482,5.295428571,58262.23497,45249.09565,5297,16,51,10942,436.4991569,226.9,223,1528.1,6.734684883,11.05504645,5,-1.285714286,1.857142857,66.14285714,3.642057987,0.020675116
411500,Xinyang,1,1,48,99360.32064,55734.87579,57045.09115,42525.8386,35010.63,21451.94743,6.840942857,5.602514286,603688.211,174972.5818,9940,26,270,24487,1241.589052,645.4,351,2387.8,3.699721103,11.05504645,8.142857143,3.428571429,5.785714286,72.92857143,5.219426394,0.034614593
411600,Zhoukou,1,1,35,29577.70846,16490.66862,19237.86085,12023.35107,52711.02,32544.27257,7.439342857,5.810557143,1490969.642,292479.9857,16413,38,140,27661,1685.590838,876.2,828,2687.2,3.066879708,11.05504645,9,2.571428571,5.785714286,66.78571429,4.779788128,0.026957001
420100,Wuhan,1,450,4.76,999999,999999,1418734.558,1809206.768,40153.698,43698.29657,3.7003,4.856842857,42918.16056,136433.5819,36266,60,354,78447,2369.26129,1060.77,1049,14847.29,13.99670994,12.49329869,9.857142857,4.857142857,7.357142857,71.14285714,5.641213291,0.039039011
420300,Shiyan,1,1,149,119228.5616,74629.45847,141361.4234,111587.4469,10158.48,7019.089714,5.516857143,5.335528571,84186.53064,70225.14012,9469,31,58,18245,755.6030944,338.3,136,1747.82,5.166479456,12.49329869,7.714285714,0.428571429,4.071428571,67.85714286,4.336041744,0.036818737
420500,Yichang,1,1,166,177770.9438,116816.861,278697.7291,239092.7097,14531.616,11033.68114,5.36,5.437185714,87536.31546,94560.46351,10919,19,91,21309,919.0974677,411.5,190,4064.18,9.876500608,12.49329869,9.571428571,4.285714286,6.928571429,72.07142857,5.558027166,0.025968546
420800,Jingmen,1,8,27.38,224106.2516,119183.0969,240452.1531,174350.4444,11961.756,7364.427429,5.723628571,5.298142857,88630.63261,57915.89225,7297,14,60,12303,646.8972043,289.63,233,1847.89,6.380174706,12.49329869,9.714285714,4.142857143,6.928571429,69.71428571,5.376248279,0.013129706
420900,Xiaogan,1,22,23.59,893112.2186,531334.6935,229913.0229,164209.4128,23938.092,15271.92514,5.581514286,4.859414286,129497.8777,62901.15289,8781,31,56,14866,1089.515783,487.8,523,1912.9,3.921484215,12.49329869,10.42857143,3.857142857,7.142857143,71.57142857,5.596859237,0.02066956
421000,Jingzhou,1,8,26.62,435739.1835,248567.0793,362869.2917,272703.5606,28470.258,18306.27771,5.791614286,4.962357143,188146.2984,82102.02654,12639,39,67,20440,1282.984125,574.42,415,2082.18,3.624838968,12.49329869,10.28571429,5,7.642857143,72,5.815752225,0.019396859
421100,Huanggang,1,12,46.75,846531.8295,507140.4331,244783.7288,177808.1369,36704.826,23016.54343,6.090685714,4.897885714,277888.6966,84303.27064,13400,31,68,20700,1405.113528,629.1,382,2035.2,3.235097759,12.49329869,10,4.714285714,7.357142857,74.71428571,5.924406729,0.05564478
429004,Xiantao,1,2,44,194466.5979,114588.0732,171007.8906,121600.4647,7692.786,5333.410286,5.153014286,4.6718,20166.20696,12463.37066,2736,25,23,4047,260.4295619,116.6,541,800.13,6.862178388,12.49329869,9.714285714,4.428571429,7.071428571,74.78571429,5.821150228,0
430100,Changsha,1,8,7.5,46829.06625,60891.09605,48147.88004,49469.72409,43425.504,45871.41086,4.122857143,4.976371429,50343.34815,118200.3166,29625,5,287,58899,1168.800498,815.47,552,11003.41,13.49333513,12.48672942,9,5.142857143,7.071428571,83.28571429,6.482770932,0.06780174
430200,Zhuzhou,1,1,18,8342.265323,2514.393456,5152.261703,4289.799465,21092.562,15915.34286,5.400785714,5.283442857,89093.066,79228.70357,10620,7,190,25998,576.2950253,402.08,328,2631.54,6.544816952,12.48672942,10,5.714285714,7.857142857,86.07142857,7.049270866,0.022344639
430300,Xiangtan,1,1,9,8200.251556,5118.152194,3119.892065,1892.259131,15040.836,10432.05943,5.314457143,4.969357143,58228.24753,41234.3064,7526,5,63,14909,410.607339,286.48,551,2161.4,7.544680257,12.48672942,9.714285714,6.571428571,8.142857143,84.78571429,7.073057303,0.035449121
430600,Yueyang,1,3,11.33,33135.7383,21117.43336,111272.4445,76964.54353,26248.86,17043.46457,5.849785714,5.104342857,201252.1126,95498.97903,15306,10,242,21880,830.8893482,579.71,346,3411.01,5.883993721,12.48672942,9.857142857,5.142857143,7.5,78.07142857,6.248154932,0.095355368
431000,Chenzhou,1,1,11,6946.123104,4209.75682,992.2997406,367.5051397,24950.97,13584.71829,6.044571429,5.207328571,200131.0473,86637.22134,11028,11,339,22673,680.0218235,474.45,227,2391.87,5.041353146,12.48672942,13.85714286,4.714285714,9.285714286,82.78571429,7.431060309,0.030580809
431100,Yongzhou,1,4,3,8284.572912,4857.940655,4376.218699,829.2201414,28885.302,16637.02971,6.827528571,5.292342857,503178.1758,108392.4698,12477,11,128,25998,781.4410335,545.21,231,1805.65,3.311843143,12.48672942,12.85714286,7,9.928571429,78.14285714,7.307155774,0.065439125
431200,Huaihua,1,3,7.67,6824.26233,4746.843686,8072.227107,4543.638516,21291.12,15216.336,5.953971429,5.273328571,191854.2372,97134.15313,11607,14,398,23556,713.7183417,497.96,165,1513.27,3.038938871,12.48672942,6.714285714,1.857142857,4.285714286,88.28571429,5.722424752,0.01236592
431300,Loudi,1,3,5.67,12003.43087,1285.651495,3989.937068,1193.638553,20716.938,12792.07543,6.167314286,5.279142857,187508.9409,77142.55705,9548,5,86,17707,563.5387934,393.18,481,1540.4,3.917798464,12.48672942,9,6.142857143,7.571428571,82.71428571,6.650398099,0.021981977
440100,Guangzhou,1,7,14.14,24675.20045,27047.01143,40359.55557,34353.1815,70862.202,88187.10686,3.067671429,4.466457143,32032.23717,129739.4906,49747,8,243,81747,4820.022008,1490.44,1708,22859.35,15.3373165,8.263458892,22,17.42857143,19.71428571,58.78571429,9.988393151,0.041543936
440200,Shaoguan,1,3,0.33,2650.942525,1752.00132,81.38161514,30.74047878,23808.33,9053.254286,5.059257143,4.757685714,47204.25413,34914.86221,5079,1,54,12546,969.4115812,299.76,154,1343.91,4.483286629,8.263458892,20.85714286,12.42857143,16.64285714,64.71428571,9.16187623,0.033648444
440300,Shenzhen,1,15,6.33,24547.57722,26307.00201,52213.7233,40067.88186,44592.93,64797.03771,2.861385714,4.728628571,22777.97458,147383.3329,33299,1,135,39899,4212.749167,1302.66,5304,24221.98,18.59424562,8.263458892,21.85714286,17.71428571,19.78571429,70.14285714,11.96815942,0.06799635
440400,Zhuhai,1,8,2.25,6467.720972,5093.447962,546.5047605,348.271286,17015.832,18934.32857,3.654471429,4.971971429,7308.550809,27290.67329,6427,1,43,8335,611.5740063,189.11,924,2914.74,15.41293427,8.263458892,19.57142857,14.71428571,17.14285714,76,11.08737239,0.04144049
440600,Foshan,1,6,4.33,4987.098106,6463.818876,7782.44215,7982.909137,33086.448,45256.32,2.779671429,4.5594,12739.02803,75520.10599,18134,1,110,32646,2556.671049,790.57,1869,9935.88,12.56799524,8.263458892,21.85714286,16.28571429,19.07142857,58.35714286,9.547531475,0.017725883
440800,Zhanjiang,1,2,4.5,4236.886023,2602.901419,0,0,38038.14,16381.02343,5.760557143,5.092442857,232809.4668,119355.4594,12810,2,103,25338,2371.138815,733.2,561,3008.39,4.103096017,8.263458892,20.85714286,16.85714286,18.85714286,80.5,13.00465732,0.030074451
441200,Zhaoqing,1,1,5,1495.179315,843.6005837,0,3.108492051,29914.488,15024.06514,4.321028571,4.362942857,31248.18726,32585.7688,7620,1,54,12678,1342.642801,415.17,264,2201.8,5.303369704,8.263458892,21.28571429,15.85714286,18.57142857,65.92857143,10.47217476,0.027005081
441300,Huizhou,1,5,2.4,6027.582785,4249.365412,7415.598456,4336.082089,28089.396,30104.04343,3.001342857,4.017685714,9714.350563,26841.44341,12582,1,72,15550,1562.002247,483,412,4103.05,8.494927536,8.263458892,22.28571429,14.71428571,18.5,67.35714286,10.6539177,0.047682872
