Week,City Code,City,New Cases,non-Hubei flow,Wuhan flow(Previous week),Relative Humidity,Hospitals,,,,,,
2,350100,Fuzhou,28,1.69,-13,2.72,9.79,3.25,,,,,
2,350200,Xiamen,10,-3.5,-17.12,0.14,-5.9,8.92,,,,,
2,350300,Putian,22,1.38,-15.39,2.34,-1.66,3.92,,,,,
2,350400,Sanming,10,1.31,-17.29,0.83,-6.73,-1.98,,,,,
2,350500,Quanzhou,21,-1.38,-12.52,4.26,-0.76,2.35,,,,,
2,350600,Zhangzhou,8,-1.2,-18.02,1.23,-7,-2.17,,,,,
2,350700,Nanping,3,1.53,-17.99,1.22,-7.26,-1.98,,,,,
2,350800,Longyan,1,-1.1,-18,1.23,-7.28,-1.98,,,,,
2,350900,Ningde,8,0.96,-17.77,1.41,-4.27,-1.94,,,,,
2,360100,Nanchang,65,5.38,11.39,1.97,9.66,2.53,,,,,
2,360200,Jingdezhen,3,1.18,-17.05,0.99,-4.73,-2,,,,,
2,360300,Pingxiang,7,-1.09,-17.66,1.24,-6.8,-0.98,,,,,
2,360400,Jiujiang,41,-0.9,13.14,-0.41,6.72,-3.42,,,,,
2,360500,Xinyu,27,4.57,-21.19,2.95,-1.9,-2.01,,,,,
2,360600,Yingtan,4,4.46,-21.08,0.83,-6.71,-1.98,,,,,
2,360700,Ganzhou,27,-1.56,-17.49,-0.44,-2.38,-1.95,,,,,
2,360800,Gian,7,-1.16,-14.7,-0.71,-2.57,-1.95,,,,,
2,360900,Yichun,26,-1.5,12.54,-3.64,-2.39,-2.74,,,,,
2,361000,Fuzhou,14,-1.55,-13.13,-1.13,-3.89,-1.95,,,,,
2,361100,Shangrao,12,-1.55,-13.9,-3.69,-2.61,-1.95,,,,,
2,370100,Jinan,16,-1.11,-16,-0.08,-6.02,1.6,,,,,
2,370200,Qingdao,21,-0.78,-14.92,-0.1,-5.92,2.84,,,,,
2,370300,Zibo,8,-1.4,-17.21,-0.1,-6.02,2.39,,,,,
2,370400,Zaozhuang,9,-1.79,-17.21,-0.1,-6.02,2.39,,,,,
2,370600,Yantai,18,-1.19,-16.74,-0.1,-5.73,-0.95,,,,,
2,370700,Weifang,8,-1.18,-16.73,-0.21,-5.63,-0.07,,,,,
2,370800,Jining,8,-1.77,-14.94,0.25,-5.79,3.48,,,,,
2,370900,Taian,3,-1.4,-17.21,-0.1,-5.92,3.48,,,,,
2,371000,Weihai,19,4.52,-20.94,1.23,-6.43,-1.02,,,,,
2,371100,Rizhao,9,4.52,-20.73,0.83,-6.24,-1.02,,,,,
2,371300,Linyi,20,-1.77,-14.92,0.25,-5.7,2.84,,,,,
2,371400,Dezhou,16,-1.17,-17.24,0.25,-5.84,-0.95,,,,,
2,371500,Liaocheng,7,-1.39,-16.71,-0.12,-5.74,2.89,,,,,
2,371600,Binzhou,9,-1.1,-17.46,-0.14,-5.89,-2.55,,,,,
2,371700,Heze,7,-1.75,-13.55,-0.67,-3.49,3.45,,,,,
2,410100,Zhengzhou,45,1.69,14.99,-0.71,6.31,-0.15,,,,,
2,410200,Kaifeng,6,-1.76,-17.13,-0.4,-3.4,2.35,,,,,
2,410300,Luoyang,2,-1.18,-15.27,-0.89,-2.11,-2.52,,,,,
2,410400,Pingdingshan,10,-1.38,-14.32,-1.01,-2.12,2.86,,,,,
2,410500,Anyang,20,1.87,-13.3,-0.49,-5.71,3.92,,,,,
2,410600,Hebi,6,-0.71,-20.7,0.55,-5.36,4,,,,,
2,410700,Xinxiang,15,-0.78,-16.91,-0.74,-2.21,3.91,,,,,
2,410800,Jiaozuo,2,1.31,-14.93,-0.07,-5.97,0.83,,,,,
2,410900,Puyang,3,-1.1,-14.94,-0.07,-6.2,0.83,,,,,
2,411000,Xuchang,8,-1.14,-14.33,-0.65,-2.09,1.36,,,,,
2,411100,Luohe,13,4.5,-16.82,-0.99,-1.74,1.27,,,,,
2,411200,Sanmenxia,5,1.18,-17.43,0.49,-6.74,-2,,,,,
2,411300,Nanyang,61,-0.37,-3.11,-5.82,42.82,-4.62,,,,,
2,411400,Shangqiu,27,-2.6,12.5,-6.32,-2.43,1.55,,,,,
2,411500,Xinyang,48,-1.24,14.93,-5.92,6.94,-2.8,,,,,
2,411600,Zhoukou,35,-2.04,10.04,-6.26,5.97,-0.62,,,,,
2,411700,Zhumadian,30,-1.28,10.42,-6.1,6.23,-3.55,,,,,
2,420100,Wuhan,2144,216.83,1822.76,2.64,52.94,4.35,,,,,
2,420200,Huangshi,168,-3.85,90.34,-1.24,71.25,-11.98,,,,,
2,420300,Shiyan,149,5.92,27.73,-0.67,65.46,3.17,,,,,
2,420500,Yichang,166,2.58,37.21,-1.03,90.54,4.64,,,,,
2,420600,Xiangyang,286,7.11,122.25,-1.28,114,5.04,,,,,
2,420700,Ezhou,189,-13.85,93.03,3.5,73.9,-2.78,,,,,
2,420800,Jingmen,219,-3.34,102.82,-1.27,97.3,4.42,,,,,
2,420900,Xiaogan,519,-101.5,506.84,-1.21,86.22,-6.27,,,,,
2,421000,Jingzhou,213,6.32,109.06,-1.28,78.5,-8.3,,,,,
2,421100,Huanggang,561,-99.45,521.67,-1.07,103.87,-0.06,,,,,
2,421200,Xianning,166,3.06,122.59,-0.93,7.5,-0.48,,,,,
2,421300,Suizhou,228,4.02,109.91,3.4,64.91,4.4,,,,,
2,422800,Enshi,75,-0.85,25.96,-0.2,7.99,-1.72,,,,,
2,429004,Xiantao,88,-8.27,34.98,1.53,44.23,-12.12,,,,,
2,429005,Qianjiang,12,-5.53,10.04,0.45,1.53,-4.27,,,,,
2,429006,Tianmen,67,-8.27,19.67,-1.56,44.27,-10.18,,,,,
2,429021,Shennongjia ,7,-4.16,-20.14,1.52,4.47,-2.39,,,,,
2,430100,Changsha,60,2.01,12.99,3.01,8.58,-2.7,,,,,
2,430200,Zhuzhou,18,-1.18,-14.7,-1.05,-2.57,-1.95,,,,,
2,430300,Xiangtan,9,-1.17,-14.36,1.69,-0.87,-0.98,,,,,
2,430400,Hengyang,25,-2.12,12.04,-6.31,8,-3.33,,,,,
2,430500,Shaoyang,36,-1.68,0.46,-4.79,7.54,-1.97,,,,,
2,430600,Yueyang,34,-1.31,13.13,-0.76,6.71,-3.42,,,,,
2,430700,Changde,37,-1.29,14.59,-0.41,6.72,-3.85,,,,,
2,430800,Zhangjiajie,1,-1.19,-17.18,-0.78,7.35,-1.97,,,,,
2,430900,Yiyang,20,-1.51,-13.61,-0.99,9.65,-2.18,,,,,
2,431000,Chenzhou,11,-1.57,-14.71,-1.05,-3.89,-1.95,,,,,
2,431100,Yongzhou,12,-1.89,-13.81,-3.85,-2.61,-1.95,,,,,
2,431200,Huaihua,23,-1.57,-14.7,-1.05,-2.57,-1.95,,,,,
2,431300,Loudi,17,-1.56,-13.58,-1.04,-2.1,-0.95,,,,,
2,433100,Xiangxi,5,-1.37,-16.51,-0.72,6.52,-3.07,,,,,
2,440100,Guangzhou,99,1.67,21.26,12.28,13.73,19.39,,,,,
2,440200,Shaoguan,1,-1.2,-18.02,1.23,-7.25,-1.92,,,,,
2,440300,Shenzhen,95,4.96,17.75,2.58,13.75,22.18,,,,,
2,440400,Zhuhai,18,-1.27,-16.69,2.5,-0.45,1.08,,,,,
2,440500,Shantou,12,1.1,-18.1,-1.93,-7.08,10.36,,,,,
2,440600,Foshan,26,4.71,-19.41,0.23,-0.29,10.72,,,,,
2,440700,Jiangmen,1,1.24,-17.7,0.41,-6.81,-0.81,,,,,
2,440800,Zhanjiang,9,-1.89,-15.92,0.08,-5.71,2.63,,,,,
2,440900,Maoming,3,-1.89,-17.16,0.08,-5.85,-0.95,,,,,
2,441200,Zhaoqing,5,-1.4,-17.97,0.41,-7.3,-1.92,,,,,
2,441300,Huizhou,12,1.35,-18.41,2.08,0.39,-2.28,,,,,
2,441400,Meizhou,5,-1.59,-17.59,-0.14,-6.32,-1.92,,,,,
2,441500,Shanwei,3,-1.29,-17.59,-0.97,-6.75,2.43,,,,,
2,441600,Heyuan,1,-1.2,-18.02,1.22,-7.25,-1.92,,,,,
2,441700,Yangjiang,7,-1.2,-17.82,0.83,-7.06,-1.92,,,,,
2,441800,Qingyuan,5,-1.2,-18.02,1.23,-7.25,-1.92,,,,,
2,441900,Dongguan,16,-5.69,-19.13,-0.46,6.23,11.84,,,,,
2,442000,Zhongshan,16,-2.66,-21.39,0.53,-0.44,9.21,,,,,
2,445200,Jieyang,6,-1.38,-18.27,-0.55,-7.39,4.27,,,,,
2,450100,Nanning,16,-1.09,-14.47,-0.41,-6.22,-1.98,,,,,
2,450200,Liuzhou,9,-1.1,-17.07,0.58,-6.95,-1.98,,,,,
2,450300,Guilin,16,-1.18,-14.7,-1.05,-3.89,-1.95,,,,,
